date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:23:45	5419/5419	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2022%20Feb%202016%2013:49:15%20GMT	http://coderthemes.com/adminto/light/assets/plugins/flot-chart/jquery.flot.crosshair.js	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/plugins/flot-chart/jquery.flot.crosshair.js	(from http://coderthemes.com/adminto/light/chart-flot.html)
13:23:45	11122/11122	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2022%20Feb%202016%2013:49:15%20GMT	http://coderthemes.com/adminto/light/assets/pages/jquery.flot.init.js	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/pages/jquery.flot.init.js	(from http://coderthemes.com/adminto/light/chart-flot.html)
13:23:45	6655/6655	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2022%20Feb%202016%2013:49:15%20GMT	http://coderthemes.com/adminto/light/assets/pages/jquery.morris.init.js	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/pages/jquery.morris.init.js	(from http://coderthemes.com/adminto/light/chart-morris.html)
13:23:46	11463/11463	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Feb%202016%2013:49:15%20GMT	http://coderthemes.com/adminto/light/assets/plugins/chartist/dist/chartist.min.css	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/plugins/chartist/dist/chartist.min.css	(from http://coderthemes.com/adminto/light/chart-chartist.html)
13:23:46	36026/36026	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2022%20Feb%202016%2013:49:15%20GMT	http://coderthemes.com/adminto/light/assets/plugins/chartist/dist/chartist.min.js	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/plugins/chartist/dist/chartist.min.js	(from http://coderthemes.com/adminto/light/chart-chartist.html)
13:23:46	2571/2571	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2022%20Feb%202016%2013:49:15%20GMT	http://coderthemes.com/adminto/light/assets/plugins/chartist/dist/chartist-plugin-tooltip.min.js	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/plugins/chartist/dist/chartist-plugin-tooltip.min.js	(from http://coderthemes.com/adminto/light/chart-chartist.html)
13:23:47	18487/18487	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2022%20Feb%202016%2013:49:15%20GMT	http://coderthemes.com/adminto/light/assets/pages/jquery.chartist.init.js	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/pages/jquery.chartist.init.js	(from http://coderthemes.com/adminto/light/chart-chartist.html)
13:23:47	334/334	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Feb%202016%2013:49:15%20GMT	http://coderthemes.com/adminto/light/assets/plugins/jquery-circliful/css/jquery.circliful.css	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/plugins/jquery-circliful/css/jquery.circliful.css	(from http://coderthemes.com/adminto/light/chart-other.html)
13:23:47	2663/2663	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2022%20Feb%202016%2013:49:15%20GMT	http://coderthemes.com/adminto/light/assets/plugins/jquery-circliful/js/jquery.circliful.min.js	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/plugins/jquery-circliful/js/jquery.circliful.min.js	(from http://coderthemes.com/adminto/light/chart-other.html)
13:23:48	43247/43247	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2022%20Feb%202016%2013:49:15%20GMT	http://coderthemes.com/adminto/light/assets/plugins/jquery-sparkline/jquery.sparkline.min.js	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/plugins/jquery-sparkline/jquery.sparkline.min.js	(from http://coderthemes.com/adminto/light/chart-other.html)
13:23:48	5179/5179	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2022%20Feb%202016%2013:49:15%20GMT	http://coderthemes.com/adminto/light/assets/pages/jquery.other-charts.js	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/pages/jquery.other-charts.js	(from http://coderthemes.com/adminto/light/chart-other.html)
13:23:48	3657/3657	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2022%20Feb%202016%2013:49:15%20GMT	http://coderthemes.com/adminto/light/assets/plugins/peity/jquery.peity.min.js	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/plugins/peity/jquery.peity.min.js	(from http://coderthemes.com/adminto/light/chart-other.html)
13:23:49	24457/24457	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Feb%202016%2013:49:15%20GMT	http://coderthemes.com/adminto/light/assets/plugins/fullcalendar/dist/fullcalendar.css	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/plugins/fullcalendar/dist/fullcalendar.css	(from http://coderthemes.com/adminto/light/calendar.html)
13:23:52	95598/95598	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2022%20Feb%202016%2013:49:15%20GMT	http://coderthemes.com/adminto/light/assets/plugins/fullcalendar/dist/fullcalendar.min.js	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/plugins/fullcalendar/dist/fullcalendar.min.js	(from http://coderthemes.com/adminto/light/calendar.html)
13:23:52	240427/240427	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2022%20Feb%202016%2013:49:15%20GMT	http://coderthemes.com/adminto/light/assets/plugins/jquery-ui/jquery-ui.min.js	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/plugins/jquery-ui/jquery-ui.min.js	(from http://coderthemes.com/adminto/light/calendar.html)
13:23:52	9014/9014	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2022%20Feb%202016%2013:49:15%20GMT	http://coderthemes.com/adminto/light/assets/pages/jquery.fullcalendar.js	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/pages/jquery.fullcalendar.js	(from http://coderthemes.com/adminto/light/calendar.html)
13:23:52	4776/4776	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2022%20Feb%202016%2013:49:15%20GMT	http://coderthemes.com/adminto/light/assets/js/wow.min.js	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/js/wow.min.js	(from http://coderthemes.com/adminto/light/page-login.html)
13:23:53	3010/3010	---M--	200	added ('OK')	image/png	etag:%2256cb11db-bc2%22	http://coderthemes.com/adminto/light/assets/images/mail_confirm.png	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/images/mail_confirm.png	(from http://coderthemes.com/adminto/light/page-confirm-mail.html)
13:23:53	4077/4077	---M--	200	added ('OK')	image/jpeg	etag:%2256cb11db-fed%22	http://coderthemes.com/adminto/light/assets/images/users/avatar-7.jpg	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/images/users/avatar-7.jpg	(from http://coderthemes.com/adminto/light/extras-projects.html)
13:23:53	15864/15864	---M--	200	added ('OK')	image/jpeg	etag:%2256cb11db-3df8%22	http://coderthemes.com/adminto/light/assets/images/users/avatar-8.jpg	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/images/users/avatar-8.jpg	(from http://coderthemes.com/adminto/light/extras-projects.html)
13:23:53	4670/4670	---M--	200	added ('OK')	image/jpeg	etag:%2256cb11db-123e%22	http://coderthemes.com/adminto/light/assets/images/users/avatar-9.jpg	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/images/users/avatar-9.jpg	(from http://coderthemes.com/adminto/light/extras-projects.html)
13:23:54	11646/11646	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Feb%202016%2013:49:15%20GMT	http://coderthemes.com/adminto/light/assets/plugins/hopscotch/css/hopscotch.min.css	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/plugins/hopscotch/css/hopscotch.min.css	(from http://coderthemes.com/adminto/light/extras-tour.html)
13:23:54	23839/23839	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2022%20Feb%202016%2013:49:15%20GMT	http://coderthemes.com/adminto/light/assets/plugins/hopscotch/js/hopscotch.min.js	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/plugins/hopscotch/js/hopscotch.min.js	(from http://coderthemes.com/adminto/light/extras-tour.html)
13:23:54	466/466	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Feb%202016%2013:49:15%20GMT	http://coderthemes.com/adminto/light/assets/plugins/dragula/dragula.min.css	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/plugins/dragula/dragula.min.css	(from http://coderthemes.com/adminto/light/extras-taskboard.html)
13:23:55	11355/11355	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2022%20Feb%202016%2013:49:15%20GMT	http://coderthemes.com/adminto/light/assets/plugins/dragula/dragula.min.js	C:/adminto/admintoLight/coderthemes.com/adminto/light/assets/plugins/dragula/dragula.min.js	(from http://coderthemes.com/adminto/light/extras-taskboard.html)
